Date,Equity
2023-07-03,1016760.842799255
2023-07-04,1061365.265327486
2023-07-05,1055643.3998241883
2023-07-06,1052958.6229906157
2023-07-07,1045219.8652433722
2023-07-10,1064358.242980239
2023-07-11,1108053.6482192187
2023-07-12,1152102.9836045352
2023-07-13,1177845.5460318278
2023-07-14,1208731.816919876
2023-07-17,1212902.7994068894
2023-07-18,1213672.4445187622
2023-07-19,1195892.9024648787
2023-07-20,1220727.2193185708
2023-07-21,1291262.3219777052
2023-07-24,1324135.1374012833
2023-07-25,1313793.9454110833
2023-07-26,1314617.0658049004
2023-07-27,1321337.213210702
2023-07-28,1352904.1927481962
2023-07-31,1310790.465417639
2023-08-01,1297873.2677701253
2023-08-02,1218731.3276305888
2023-08-04,1220436.7926598678
2023-08-07,1270570.4453332399
2023-08-08,1265846.622232063
2023-08-09,1267116.8805687893
2023-08-10,1210434.3236786416
2023-08-11,1229421.987758885
2023-08-14,1210266.2931702402
2023-08-15,1249054.6164863135
2023-08-16,1276441.825441307
2023-08-17,1306094.509267333
2023-08-18,1273991.9678652755
2023-08-21,1297228.2919283628
2023-08-22,1309216.3890593995
2023-08-23,1323011.3155485115
2023-08-24,1329853.3958211397
2023-08-25,1311728.0197705799
2023-08-28,1302901.7399907063
2023-08-29,1304394.658416665
2023-08-30,1306151.9876538655
2023-08-31,1306993.4272753932
2023-09-01,1297594.4729086359
2023-09-04,1299587.731556645
2023-09-05,1301022.594201461
2023-09-06,1309374.8408453234
2023-09-07,1308325.2899210704
2023-09-08,1305596.476174014
2023-09-11,1299464.9599895026
2023-09-12,1299166.4452898507
2023-09-13,1303277.5759588769
2023-09-14,1308246.8132772776
2023-09-15,1307366.1485384514
2023-09-18,1304896.619173775
2023-09-19,1303941.730612842
2023-09-20,1293397.756594773
2023-09-21,1280070.7415901723
2023-09-22,1283844.914744195
2023-09-25,1289328.7961483204
2023-09-26,1285115.1256734056
2023-09-27,1287986.804257013
2023-09-28,1289267.083539819
2023-10-02,1287685.5871955513
2023-10-03,1287331.3728952806
2023-10-04,1287123.920598044
2023-10-05,1289673.7677138017
2023-10-06,1288897.600435614
2023-10-11,1289086.221088034
2023-10-12,1290270.1132861518
2023-10-13,1293759.2521337508
2023-10-16,1290043.9317584247
2023-10-17,1282603.5325482867
2023-10-18,1263188.2586623088
2023-10-19,1268312.4876046444
2023-10-20,1268260.8710746411
2023-10-23,1254653.9484050553
2023-10-24,1254746.8517824674
2023-10-25,1252979.0384464643
2023-10-26,1245195.8150408594
2023-10-27,1246414.9312706152
2023-10-30,1250309.2842434996
2023-10-31,1242276.4183821063
2023-11-01,1242968.3210445226
2023-11-02,1252389.2592979567
2023-11-03,1259627.151931276
2023-11-06,1273299.0163468695
2023-11-07,1300157.084319849
2023-11-08,1306599.5660492105
2023-11-09,1300574.3473093614
2023-11-10,1282829.7687488263
2023-11-13,1278472.8453761854
2023-11-14,1280277.8930206394
2023-11-15,1273313.269056691
2023-11-16,1272665.3907739504
2023-11-17,1284034.6305183843
2023-11-20,1283587.544178274
2023-11-21,1286386.1193207495
2023-11-22,1280745.4072829762
2023-11-23,1267958.181738654
2023-11-24,1261705.3351606224
2023-11-27,1243678.0239060724
2023-11-28,1266459.9820351896
2023-11-29,1277708.8753045076
2023-11-30,1279598.4717060819
2023-12-01,1282406.970036082
2023-12-04,1287292.7798034803
2023-12-05,1307929.8523208955
2023-12-06,1298123.7479363796
2023-12-07,1311040.3236569697
2023-12-08,1328194.6693088245
2023-12-11,1304869.2882561986
2023-12-12,1316991.762768523
2023-12-13,1316728.098522729
2023-12-14,1320143.4867328203
2023-12-15,1321808.4635937025
2023-12-18,1310400.5730861363
2023-12-19,1300419.8539162735
2023-12-20,1303322.1615902833
2023-12-21,1301556.651107783
2023-12-22,1304700.6814474922
2023-12-25,1293041.3079694428
2023-12-26,1309252.4291884024
2023-12-27,1326972.186157808
2023-12-28,1334828.6865804517
2023-12-29,1328386.000570633
2024-01-02,1329119.645309835
2024-01-03,1318402.9478643443
2024-01-04,1322574.1198404385
2024-01-05,1319597.4927901304
2024-01-08,1314802.6470234927
2024-01-09,1287546.4495055778
2024-01-10,1269168.9993419
2024-01-11,1273949.6498530705
2024-01-12,1271725.5934121734
2024-01-15,1268726.427376296
2024-01-16,1269677.4885720296
2024-01-17,1257422.8591018375
2024-01-18,1267161.4250498633
2024-01-19,1275224.400118455
2024-01-22,1292366.4463340794
2024-01-23,1305337.5511443077
2024-01-24,1297274.187368127
2024-01-25,1300300.7818611462
2024-01-26,1287213.303474817
2024-01-29,1297897.5807372064
2024-01-30,1310754.0480456813
2024-01-31,1297678.9446516437
2024-02-01,1338745.7148988743
2024-02-02,1356115.1515377664
