,Score
1303,4.0
6446,3.933333333333333
2634,3.8499999999999996
1301,3.783333333333333
1326,3.7666666666666666
2303,3.65
3711,3.5333333333333337
2887,3.4666666666666663
2890,3.3166666666666664
2458,3.25
2883,3.216666666666667
2377,3.2
6770,3.166666666666667
2449,3.05
2618,2.883333333333333
3706,2.7500000000000004
2408,2.7333333333333334
2330,2.7
2886,2.683333333333333
2301,2.6666666666666665
2404,2.6333333333333333
6669,2.633333333333333
2884,2.5500000000000003
3481,2.5
2885,2.4166666666666665
2603,2.3333333333333335
3035,2.183333333333333
2382,2.183333333333333
2881,1.9666666666666668
2376,1.916666666666667
2412,1.9166666666666667
2324,1.9166666666666665
2379,1.8333333333333335
4904,1.8
3045,1.8
6285,1.7
2357,1.6833333333333336
2383,1.6166666666666667
6239,1.3666666666666667
2891,1.3666666666666667
2882,1.3333333333333335
3231,1.333333333333333
2356,1.2999999999999998
6116,1.25
2345,1.1833333333333333
3017,1.1833333333333331
2344,1.1
2317,1.0833333333333333
3037,0.95
2360,0.85
2327,0.7666666666666667
2308,0.7333333333333334
3533,0.55
2454,0.5166666666666667
3036,0.4833333333333333
3661,0.4666666666666667
6415,0.3666666666666667
3443,0.3666666666666667
3044,0.2
2368,0.06666666666666667
