Date,Equity
2023-06-02,1009653.2332061873
2023-06-05,1007369.7311030981
2023-06-06,1003695.0762258939
2023-06-07,1037439.3157282465
2023-06-08,1016595.550767516
2023-06-09,1053631.1788395348
2023-06-12,1050982.7817099409
2023-06-13,1081387.9029302236
2023-06-14,1097193.7442052078
2023-06-15,1130461.8920158714
2023-06-16,1140196.654748575
2023-06-19,1136705.697214632
2023-06-20,1133707.9749584005
2023-06-21,1153480.2669948493
2023-06-26,1137931.8228761062
2023-06-27,1094453.0822695706
2023-06-28,1101100.7976571545
2023-06-29,1122593.3001883053
2023-06-30,1150307.2078198672
2023-07-03,1187255.8197513565
2023-07-04,1246697.4901760994
2023-07-05,1230652.8625525588
2023-07-06,1226790.475441108
2023-07-07,1220867.8319006627
2023-07-10,1229136.2661793437
2023-07-11,1280264.4485314845
2023-07-12,1321790.7862206846
2023-07-13,1352392.4033016327
2023-07-14,1385176.7937973964
2023-07-17,1397919.0904162575
2023-07-18,1394779.6988428093
2023-07-19,1373536.2536901555
2023-07-20,1399391.175739085
2023-07-21,1469976.9911123735
2023-07-24,1503765.2127247516
2023-07-25,1491241.2486807546
2023-07-26,1489395.8795731044
2023-07-27,1494252.1735934229
2023-07-28,1536688.0928173587
2023-07-31,1496398.2633626442
2023-08-01,1489537.371212751
2023-08-02,1394681.594499612
2023-08-04,1398461.6068023397
2023-08-07,1456667.664267716
2023-08-08,1450267.9089174876
2023-08-09,1451701.458821603
2023-08-10,1385993.4202999761
2023-08-11,1409071.2089044657
2023-08-14,1386616.3720571331
2023-08-15,1430627.9469656642
2023-08-16,1462259.1201350505
2023-08-17,1497969.9213435608
2023-08-18,1459083.5720016554
2023-08-21,1486841.023473338
2023-08-22,1501487.8948160396
2023-08-23,1513950.9079300114
2023-08-24,1521850.3087895135
2023-08-25,1499977.2526178882
2023-08-28,1489541.9428001153
2023-08-29,1488774.2217935498
2023-08-30,1490958.1970707471
2023-08-31,1494433.0572012772
2023-09-01,1483231.8640502072
2023-09-04,1485042.164366123
2023-09-05,1486942.675045607
2023-09-06,1496512.4828997694
2023-09-07,1495688.522866037
2023-09-08,1493446.0834118323
2023-09-11,1486518.2630602038
2023-09-12,1483884.4479493212
2023-09-13,1486996.2534052003
2023-09-14,1492066.332475766
2023-09-15,1491238.1452395404
2023-09-18,1487462.4099640162
2023-09-19,1486434.9108917054
2023-09-20,1473902.023587426
2023-09-21,1460196.2333705842
2023-09-22,1461732.832225461
2023-09-25,1464866.6173940771
2023-09-26,1461107.0520775334
2023-09-27,1463608.1690424646
2023-09-28,1464887.2833274922
2023-10-02,1463566.7404806656
2023-10-03,1462679.3890147835
2023-10-04,1462267.6691219225
2023-10-05,1465105.8785593468
2023-10-06,1464801.8317893504
2023-10-11,1465407.16863321
2023-10-12,1467830.494112275
2023-10-13,1467944.8293704288
2023-10-16,1466553.7310314055
2023-10-17,1460136.7394209844
2023-10-18,1448681.4488801705
2023-10-19,1451457.0844052855
2023-10-20,1448601.3528087852
2023-10-23,1434752.1850581327
2023-10-24,1431828.3195200257
2023-10-25,1431547.0532570356
2023-10-26,1424702.276032724
2023-10-27,1420137.2256131575
2023-10-30,1424795.3864159198
2023-10-31,1417860.247777883
2023-11-01,1419613.230159551
2023-11-02,1427474.9215058014
2023-11-03,1431790.1498589532
2023-11-06,1447157.1877855372
2023-11-07,1473312.9599385064
2023-11-08,1481511.2214063825
2023-11-09,1477581.1375857072
2023-11-10,1456962.3424735693
2023-11-13,1452235.3792514612
2023-11-14,1453679.5767499118
2023-11-15,1446217.6090502068
2023-11-16,1445762.698846826
2023-11-17,1459145.2987466413
2023-11-20,1458082.139730488
2023-11-21,1461113.369845039
2023-11-22,1455096.7698248238
2023-11-23,1437202.1362637214
2023-11-24,1429096.3392835355
2023-11-27,1409786.0430377782
2023-11-28,1436797.0047104442
2023-11-29,1446621.1525958194
2023-11-30,1448451.144775279
2023-12-01,1456175.655803053
2023-12-04,1462452.6831496188
2023-12-05,1483407.6592558871
2023-12-06,1481713.979469737
2023-12-07,1497589.284279263
2023-12-08,1526798.6089021408
2023-12-11,1496987.5783010141
2023-12-12,1512248.4783915651
2023-12-13,1515147.8094320016
2023-12-14,1509035.4390504288
2023-12-15,1506313.3457561848
2023-12-18,1494624.271999517
2023-12-19,1480620.8097555079
2023-12-20,1482983.8593132072
2023-12-21,1489007.1644710833
2023-12-22,1496340.7645104649
2023-12-25,1474593.7489300852
2023-12-26,1492118.1505879848
2023-12-27,1506998.5671285656
2023-12-28,1511494.337514335
2023-12-29,1504936.2208142995
2024-01-02,1508006.4590483403
2024-01-03,1490302.4795456792
2024-01-04,1495869.423414359
2024-01-05,1495661.733710774
2024-01-08,1487134.5373962955
2024-01-09,1448891.17503928
2024-01-10,1425215.669983643
2024-01-11,1432900.1185084458
2024-01-12,1428893.2290412078
2024-01-15,1430186.3293159471
2024-01-16,1435263.300562851
2024-01-17,1424236.9211689718
2024-01-18,1430333.7413721425
2024-01-19,1438226.2327278594
2024-01-22,1454018.8738298016
2024-01-23,1464500.3801383977
2024-01-24,1457486.321719925
2024-01-25,1460873.0664646719
2024-01-26,1444818.522996299
2024-01-29,1454465.966930766
2024-01-30,1458886.862028688
2024-01-31,1443373.884355365
2024-02-01,1480863.9385186313
2024-02-02,1511569.667243478
2024-02-05,1525910.0244802744
2024-02-15,1589345.2472936993
2024-02-16,1559181.542088554
2024-02-19,1530224.485967812
2024-02-20,1519351.0506414257
2024-02-21,1508326.5804559134
2024-02-22,1522631.8651617053
2024-02-23,1520240.9398255658
2024-02-26,1524943.0213139239
2024-02-27,1495493.5922667868
2024-02-29,1532732.7677678035
2024-03-01,1554397.5513932246
2024-03-04,1573023.5372171972
2024-03-05,1611728.8833912306
2024-03-06,1648297.2032629254
2024-03-07,1628798.0491140173
2024-03-08,1594784.3189918185
2024-03-11,1607774.1446562563
2024-03-12,1628387.5010984684
2024-03-13,1614270.1597744012
2024-03-14,1561552.6456592453
2024-03-15,1546032.7091810748
2024-03-18,1593363.6678024672
2024-03-19,1600325.37505736
2024-03-20,1593619.6097888832
2024-03-21,1605227.9138609436
2024-03-22,1593126.3547956026
2024-03-25,1597343.6213434562
2024-03-26,1566174.2853306495
2024-03-27,1571884.6886377465
2024-03-28,1580835.919948139
2024-03-29,1584290.0040399868
2024-04-01,1574234.1016038498
2024-04-02,1614668.0441407473
2024-04-03,1618593.2854841654
2024-04-08,1612897.5545107627
2024-04-09,1638761.4203281896
2024-04-10,1627031.2588828723
2024-04-11,1617461.2754717527
2024-04-12,1646608.9643641764
2024-04-15,1596234.1563071962
2024-04-16,1536925.1562321489
2024-04-17,1593261.4613796214
2024-04-18,1618219.563931364
2024-04-19,1558251.643587993
2024-04-22,1502217.5978575265
2024-04-23,1509215.8030062125
2024-04-24,1562885.6685828203
2024-04-25,1548573.6761504412
2024-04-26,1565908.0932065696
2024-04-29,1566128.9243205641
2024-04-30,1560380.0870189609
2024-05-02,1549158.0878349047
2024-05-03,1554602.9644318444
2024-05-06,1559191.7766115074
2024-05-07,1562111.2556991375
2024-05-08,1554751.6634864667
2024-05-09,1546394.3513899778
2024-05-10,1554077.0762581546
2024-05-13,1552899.5647660238
2024-05-14,1562734.601737359
2024-05-15,1578073.5016853514
2024-05-16,1617526.0906568402
2024-05-17,1600000.2580318847
2024-05-20,1589165.25642367
2024-05-21,1568656.2466858546
2024-05-22,1579763.7084589398
2024-05-23,1579373.2350937144
2024-05-24,1604868.7373642446
2024-05-27,1635092.681402001
2024-05-28,1648986.0473322922
2024-05-29,1626059.0183836978
2024-05-30,1613645.5019313178
2024-05-31,1579116.5797262383
2024-06-03,1599161.6274371147
2024-06-04,1584631.1447282687
2024-06-05,1623863.857945886
2024-06-06,1633767.7849402549
2024-06-07,1642397.9619056955
2024-06-11,1589726.090546908
2024-06-12,1570146.196280145
2024-06-13,1591794.8021335239
2024-06-14,1625598.2466730895
2024-06-17,1609409.7921390703
2024-06-18,1622326.1778647965
2024-06-19,1623859.569600455
2024-06-20,1644060.7448071279
2024-06-21,1634549.706306823
2024-06-24,1603778.2178777694
2024-06-25,1607815.217375949
2024-06-26,1613466.9005009
2024-06-27,1610595.8367562443
2024-06-28,1625368.307039836
2024-07-01,1611740.5069041343
2024-07-02,1595807.6927557492
2024-07-03,1617949.9740758971
2024-07-04,1623806.357157457
2024-07-05,1605343.3432064203
2024-07-08,1636858.8660246027
2024-07-09,1653382.7876892742
2024-07-10,1665391.3523352884
2024-07-11,1678480.0856270196
2024-07-12,1638285.9383000284
2024-07-15,1645150.2904246992
2024-07-16,1652081.629938919
2024-07-17,1668211.7593988408
2024-07-18,1618944.4855698182
2024-07-19,1604276.7492144743
2024-07-22,1527053.5636765563
2024-07-23,1569286.9610533682
2024-07-26,1550517.4527246335
2024-07-29,1533307.6894733098
2024-07-30,1549362.3259697785
2024-07-31,1552692.2624143616
2024-08-01,1571026.8876377007
2024-08-02,1529135.2771016809
2024-08-05,1471111.1965719638
2024-08-06,1477537.827590148
2024-08-07,1489419.851939603
2024-08-08,1483855.6795996136
2024-08-09,1494773.3507617698
2024-08-12,1499964.023092921
2024-08-13,1499381.53814291
2024-08-14,1499641.8187942524
2024-08-15,1500095.439088828
2024-08-16,1502298.6457396082
2024-08-19,1502118.271441239
2024-08-20,1501098.600962899
2024-08-21,1498373.8455117026
2024-08-22,1499770.1234664996
2024-08-23,1500735.8272025697
2024-08-26,1508508.5811441615
2024-08-27,1505956.1317452595
2024-08-28,1505823.3495695519
2024-08-29,1505230.7807757757
2024-08-30,1505084.35526781
2024-09-02,1502174.289302687
2024-09-03,1499738.9475442132
2024-09-04,1471803.9427846416
2024-09-05,1474718.9025787283
2024-09-06,1476474.7937742916
2024-09-09,1470330.7147462647
2024-09-10,1464836.3224832816
2024-09-11,1466944.5623761415
2024-09-12,1482827.955144958
2024-09-13,1482662.6180860638
2024-09-16,1480366.3379342519
2024-09-18,1478815.0124666013
2024-09-19,1494586.0178540032
2024-09-20,1497939.4424732092
2024-09-23,1498463.8114911926
2024-09-24,1500481.9097640535
2024-09-25,1504474.5839573422
2024-09-26,1505160.777535476
2024-09-27,1508311.5472841875
2024-09-30,1499664.5352758109
2024-10-01,1501499.7882214475
2024-10-04,1474454.3053746915
2024-10-07,1495393.9327825722
2024-10-08,1489262.185514613
2024-10-09,1489811.5928716562
2024-10-11,1473707.4754819835
2024-10-14,1486034.2813941333
2024-10-15,1481558.5828857387
2024-10-16,1487908.4145185677
2024-10-17,1498382.5079558075
2024-10-18,1495858.6938714797
2024-10-21,1518088.4660925479
2024-10-22,1515641.3376222544
2024-10-23,1511699.0733261197
2024-10-24,1487050.1310947214
2024-10-25,1509035.288808627
2024-10-28,1499244.8062530924
2024-10-29,1466322.2217052563
2024-10-30,1461278.5150706358
2024-11-01,1455229.9386114758
2024-11-04,1459624.2244609545
2024-11-05,1472455.377643881
2024-11-06,1490379.269876448
2024-11-07,1500590.2042160206
2024-11-08,1501645.2647647578
2024-11-11,1493787.5539313285
2024-11-12,1470889.9916717387
2024-11-13,1473518.9992695265
2024-11-14,1465598.4558332516
2024-11-15,1455396.8639274444
2024-11-18,1422693.996207866
2024-11-19,1458290.1910358882
2024-11-20,1457053.0214081148
2024-11-21,1476244.4453791894
2024-11-22,1480234.6834436865
2024-11-25,1494653.554050831
2024-11-26,1472527.5303591576
2024-11-27,1425813.1226105483
2024-11-28,1429104.3676712154
2024-11-29,1438095.2094535334
2024-12-02,1454362.1826821135
2024-12-03,1464499.0712017713
2024-12-04,1473459.810595442
2024-12-05,1462722.505293835
2024-12-06,1464218.7384041979
2024-12-09,1483427.8243491054
2024-12-10,1468326.0803971174
2024-12-11,1471879.5756785732
2024-12-12,1476429.9323858514
2024-12-13,1486841.4864056385
2024-12-16,1485695.582127371
2024-12-17,1488684.2649813376
2024-12-18,1484913.4714259051
2024-12-19,1479372.7960803055
2024-12-20,1463756.5928545133
2024-12-23,1476355.532914657
2024-12-24,1456231.3332358107
2024-12-25,1461636.1231677067
2024-12-26,1471570.5713444827
2024-12-27,1492142.120710459
2024-12-30,1475687.5508405664
2024-12-31,1490572.3773396024
2025-01-02,1452247.1160566634
2025-01-03,1454742.6355178966
2025-01-06,1471070.4550776114
2025-01-07,1478015.985543483
2025-01-08,1469006.4870430366
2025-01-09,1438590.3812576
2025-01-10,1432139.0278603362
2025-01-13,1395876.0933824647
2025-01-14,1411637.049605574
2025-01-15,1406212.779498312
2025-01-16,1413036.1840771884
2025-01-17,1425395.7796080078
2025-01-20,1439109.27403634
2025-01-21,1435652.2397892822
2025-01-22,1443227.777825296
2025-02-03,1424439.0334501115
2025-02-04,1424252.5987827359
2025-02-05,1436708.0845367112
2025-02-06,1435646.9252497978
2025-02-07,1429103.9984618714
2025-02-10,1422738.702625602
