,Score
1303,4.0
6446,3.9166666666666665
2327,3.8833333333333333
2303,3.783333333333333
2383,3.6333333333333333
1326,3.6
2379,3.5666666666666664
3481,3.55
1301,3.45
2887,3.3666666666666667
2890,3.2333333333333334
3711,3.1833333333333336
3035,3.066666666666667
2618,3.0
2404,2.8999999999999995
3443,2.816666666666667
3034,2.783333333333333
2881,2.783333333333333
2883,2.75
6415,2.6666666666666665
2345,2.6499999999999995
2408,2.5
2886,2.4666666666666663
2885,2.416666666666667
2344,2.3833333333333333
3661,2.3333333333333335
2891,2.3
2449,2.2
2377,2.1333333333333333
2884,2.0999999999999996
2882,1.95
2330,1.9000000000000004
4904,1.8333333333333335
6239,1.7166666666666668
3017,1.7166666666666668
3037,1.6833333333333333
3044,1.6166666666666667
2454,1.6166666666666667
6669,1.5833333333333333
6116,1.4666666666666666
2412,1.35
3706,1.3166666666666664
2382,1.2999999999999998
2368,1.2833333333333334
6770,1.2666666666666666
2376,1.0
3231,0.9833333333333333
2356,0.9333333333333333
3533,0.8666666666666667
4938,0.8333333333333334
2301,0.7833333333333332
2603,0.7166666666666668
6285,0.6
2360,0.5666666666666667
2324,0.3666666666666667
2308,0.3666666666666667
2317,0.2833333333333333
1519,0.2833333333333333
2357,0.25
3036,0.15000000000000002
