,Score
2454,4.0
6415,3.8999999999999995
2303,3.8666666666666667
3443,3.833333333333333
2408,3.6666666666666665
3661,3.6
2327,3.533333333333333
3037,3.433333333333333
2344,3.416666666666667
6669,3.4166666666666665
2345,3.4
2395,3.2
2383,3.1666666666666665
3481,3.0
3035,2.983333333333334
2377,2.9833333333333334
2368,2.933333333333333
2301,2.916666666666667
3711,2.8666666666666663
3044,2.8166666666666664
2308,2.6833333333333336
3034,2.6
3036,2.4499999999999997
2356,2.416666666666667
6446,2.4166666666666665
2376,2.3833333333333333
2360,2.2333333333333334
2317,2.1833333333333336
2357,2.0833333333333335
1504,1.9500000000000002
3017,1.9000000000000001
2885,1.9
2404,1.8833333333333333
6770,1.85
1605,1.7000000000000002
2379,1.7
6285,1.7
2330,1.666666666666667
2382,1.5166666666666666
6239,1.4833333333333334
2881,1.3499999999999999
2883,1.3166666666666667
3045,1.1666666666666665
2882,1.1333333333333333
3533,1.1333333333333333
2603,1.0833333333333335
2891,1.0166666666666666
3231,0.95
2324,0.7666666666666667
2449,0.7
2412,0.6833333333333333
3706,0.5333333333333333
1519,0.5333333333333333
1303,0.4666666666666667
4938,0.4666666666666667
2884,0.4
2474,0.26666666666666666
2887,0.18333333333333335
1326,0.15000000000000002
1301,0.06666666666666667
