,Score
2615,4.0
2301,3.9166666666666665
3443,3.75
2609,3.75
6446,3.7333333333333334
3037,3.666666666666666
2603,3.6333333333333337
2357,3.55
3017,3.4000000000000004
2408,3.3333333333333335
2395,3.316666666666667
2634,3.1333333333333333
2324,3.0833333333333335
6669,3.0166666666666666
2383,2.95
3044,2.933333333333333
6770,2.9000000000000004
2884,2.7333333333333334
2344,2.7166666666666663
2887,2.6666666666666665
3034,2.6500000000000004
1303,2.55
2356,2.35
3661,2.3499999999999996
2618,2.333333333333333
2881,2.3000000000000003
3045,2.1333333333333333
2368,2.1166666666666667
2377,2.1000000000000005
2883,2.0666666666666664
2454,1.9833333333333334
2376,1.9833333333333334
2330,1.8666666666666667
3231,1.7333333333333332
2882,1.7166666666666668
2892,1.7166666666666666
2891,1.6666666666666667
2885,1.6333333333333335
2382,1.5666666666666667
2886,1.3833333333333333
2360,1.2833333333333332
6415,1.2500000000000002
2308,1.1333333333333333
3036,1.1166666666666667
2412,1.05
6239,1.0166666666666666
3711,0.9833333333333333
6505,0.9166666666666667
2317,0.9000000000000001
2303,0.9
1301,0.8666666666666667
2379,0.8166666666666667
2404,0.7
3481,0.6
6285,0.5333333333333333
2345,0.5166666666666667
1326,0.44999999999999996
2449,0.3333333333333333
2327,0.16666666666666669
3533,0.08333333333333334
