,Score
3017,3.9333333333333336
2357,3.8666666666666667
3443,3.8166666666666664
6669,3.733333333333333
3231,3.6333333333333333
2395,3.5999999999999996
2383,3.5666666666666664
2408,3.5
2301,3.5
6446,3.45
2376,3.283333333333333
3037,3.1666666666666665
2324,2.9666666666666663
2634,2.9666666666666663
2360,2.8333333333333335
3044,2.8000000000000003
2454,2.8000000000000003
2356,2.716666666666667
4938,2.6833333333333336
3661,2.6666666666666665
2344,2.6499999999999995
2377,2.6166666666666667
6770,2.6
2887,2.45
2603,2.2333333333333334
3034,2.1666666666666665
2885,2.1500000000000004
2317,2.05
3036,2.0
2345,1.9833333333333334
1303,1.9833333333333334
2890,1.9833333333333334
2884,1.9333333333333333
2883,1.85
2882,1.7833333333333334
6415,1.6
2308,1.5833333333333333
2891,1.5333333333333334
2368,1.5333333333333332
2886,1.4333333333333331
2881,1.4166666666666665
2330,1.4166666666666665
2892,1.3666666666666667
6285,1.2166666666666666
1301,1.0666666666666667
1216,1.0333333333333334
2379,1.0166666666666666
2382,1.0166666666666666
3711,0.9833333333333333
6505,0.85
2412,0.7999999999999999
2618,0.75
6239,0.7166666666666668
1326,0.7
2404,0.7
3481,0.4833333333333333
3533,0.33333333333333337
2449,0.26666666666666666
2327,0.16666666666666669
2303,0.1
