,Score
2395,3.9499999999999997
3231,3.9166666666666665
2301,3.783333333333333
2408,3.716666666666667
6669,3.683333333333333
3017,3.683333333333333
2357,3.466666666666667
3034,3.4333333333333336
6505,3.266666666666667
3037,3.1999999999999997
2317,3.1333333333333333
2603,3.1166666666666667
2884,3.1
6446,3.083333333333333
2886,3.05
2344,2.783333333333333
2376,2.75
2887,2.6999999999999997
2360,2.6333333333333333
3036,2.616666666666667
2883,2.5833333333333335
2618,2.583333333333333
3443,2.433333333333333
2377,2.416666666666667
2882,2.416666666666667
4904,2.4
2892,2.4
2356,2.3666666666666667
2885,2.1666666666666665
2890,2.1166666666666667
2383,2.0333333333333337
2881,1.9500000000000002
2454,1.9000000000000001
2379,1.7833333333333337
2412,1.7833333333333332
2634,1.6
1216,1.5833333333333335
3045,1.5833333333333335
1303,1.55
2891,1.5499999999999998
2324,1.4
3533,1.3833333333333333
2330,1.2666666666666666
6285,1.25
6770,1.1666666666666665
3711,1.1166666666666667
2404,1.1166666666666667
1301,1.0666666666666667
1326,0.9
2308,0.9
6239,0.8999999999999999
3661,0.6666666666666666
2345,0.5666666666666667
3481,0.43333333333333335
2382,0.4
6415,0.39999999999999997
2368,0.33333333333333337
2449,0.21666666666666667
2303,0.18333333333333335
2327,0.06666666666666667
