,Score
3443,3.95
2301,3.9499999999999997
2408,3.7666666666666666
1303,3.766666666666666
3017,3.716666666666667
6446,3.6999999999999997
2615,3.533333333333333
6669,3.3333333333333335
3044,3.3333333333333335
3037,3.3333333333333335
2357,3.1833333333333336
2368,3.15
2395,2.9499999999999997
3661,2.916666666666667
1301,2.9166666666666665
1605,2.9166666666666665
2344,2.9000000000000004
6770,2.8833333333333333
2634,2.716666666666667
2603,2.6333333333333333
2881,2.5999999999999996
6239,2.45
2609,2.4
2449,2.2666666666666666
2383,2.2333333333333334
2308,2.233333333333333
1326,2.1833333333333336
2382,2.1833333333333336
2324,2.1500000000000004
2883,2.1333333333333333
2887,2.05
6505,1.8833333333333335
2376,1.8166666666666669
3034,1.7666666666666668
2303,1.7333333333333334
2882,1.6833333333333331
6415,1.5166666666666666
2327,1.5166666666666666
2377,1.4833333333333332
3045,1.3666666666666667
3481,1.3
2884,1.2666666666666666
6285,1.25
2330,1.15
2892,1.0666666666666667
2379,1.0666666666666667
2454,1.0333333333333332
3711,1.0
2360,1.0
2356,0.9666666666666667
2317,0.9166666666666665
2886,0.8500000000000001
3231,0.8500000000000001
2885,0.8
2891,0.6666666666666666
2618,0.5333333333333334
2404,0.4333333333333333
3036,0.3666666666666667
2345,0.2
3533,0.08333333333333334
