,Score
2454,4.0
3443,3.933333333333333
2383,3.8666666666666667
2303,3.6666666666666665
3661,3.666666666666666
2368,3.65
2345,3.6333333333333337
3037,3.5999999999999996
2360,3.4666666666666663
6415,3.45
3711,3.3333333333333335
2308,3.2833333333333337
6669,3.2333333333333334
3044,3.066666666666667
2376,3.0
3533,3.0
2408,2.95
2327,2.8499999999999996
2317,2.7499999999999996
2395,2.6833333333333336
2301,2.6333333333333333
3035,2.55
2885,2.4166666666666665
2449,2.4
2330,2.3666666666666667
3017,2.2666666666666666
2382,2.1833333333333336
6239,2.166666666666667
2356,2.1333333333333333
6285,2.1333333333333333
2344,2.05
3231,1.9333333333333333
1303,1.8666666666666667
3481,1.8166666666666669
3706,1.7666666666666666
3034,1.7333333333333334
2357,1.666666666666667
1326,1.45
2404,1.4166666666666667
2377,1.4
2379,1.2333333333333334
2882,1.2333333333333334
2474,1.2
2883,1.1666666666666667
1519,1.15
4938,1.05
5871,0.9333333333333333
2324,0.8666666666666667
1301,0.7833333333333332
6770,0.7166666666666667
2603,0.7166666666666666
2881,0.7
6446,0.48333333333333334
2412,0.4833333333333333
3045,0.45000000000000007
2886,0.3666666666666667
2891,0.31666666666666665
2887,0.30000000000000004
3036,0.23333333333333334
2884,0.18333333333333335
