,Score
3017,3.95
2615,3.9
2301,3.883333333333333
3037,3.7166666666666663
2357,3.7166666666666663
6446,3.666666666666667
2395,3.5833333333333335
3443,3.5666666666666664
2603,3.5
6669,3.433333333333333
2609,3.25
2383,3.1500000000000004
3044,3.1
3231,3.0833333333333335
2634,2.9999999999999996
2408,2.983333333333333
2324,2.9
3034,2.833333333333333
2887,2.716666666666667
4938,2.6333333333333333
2884,2.5999999999999996
2368,2.516666666666667
2356,2.4333333333333336
2376,2.3833333333333333
2892,2.316666666666667
2885,2.25
2886,2.166666666666667
2882,2.1666666666666665
2881,2.0666666666666664
2891,2.0166666666666666
2883,1.9333333333333333
3036,1.9166666666666667
2382,1.7333333333333332
2379,1.6833333333333336
2618,1.666666666666667
3661,1.6333333333333333
2454,1.6166666666666667
2360,1.6166666666666667
2412,1.4499999999999997
2344,1.4166666666666665
2377,1.35
1303,1.3333333333333335
2330,1.3333333333333333
6770,1.25
2317,1.2
1301,0.9500000000000001
2308,0.9333333333333333
2404,0.9333333333333333
6505,0.9166666666666667
2345,0.9
6285,0.8500000000000001
3711,0.7333333333333333
6239,0.7166666666666668
6415,0.6166666666666666
3481,0.44999999999999996
1326,0.39999999999999997
2449,0.38333333333333336
2303,0.3
3533,0.18333333333333335
2327,0.11666666666666667
