,Score
2454,3.9833333333333334
3443,3.9499999999999997
3037,3.8666666666666667
2383,3.8
2368,3.7166666666666663
2345,3.6333333333333337
6415,3.6333333333333333
2303,3.466666666666667
2308,3.4166666666666665
2360,3.4
3661,3.3833333333333333
3711,3.3000000000000003
2327,3.1500000000000004
3044,3.1166666666666667
6669,3.0333333333333337
3017,3.033333333333333
2449,2.966666666666667
6285,2.8499999999999996
2330,2.65
3035,2.6166666666666663
3533,2.55
2317,2.5333333333333337
2376,2.533333333333333
2395,2.5166666666666666
2408,2.433333333333333
1303,2.4166666666666665
2885,2.3833333333333333
1326,2.1500000000000004
2301,2.0
2382,1.9333333333333331
2356,1.9166666666666667
3231,1.9166666666666665
2404,1.8166666666666669
2474,1.6500000000000001
3706,1.6166666666666667
3481,1.6166666666666667
6239,1.6
1301,1.5666666666666669
3034,1.5333333333333332
2883,1.5
1519,1.35
2379,1.3333333333333333
2377,1.2666666666666666
5871,1.1333333333333333
2882,1.1
2357,1.05
4938,1.0
2344,0.8833333333333333
2881,0.8333333333333335
2324,0.7833333333333333
2603,0.7333333333333333
6770,0.5166666666666667
2412,0.5
3045,0.4833333333333334
6446,0.4666666666666667
2891,0.4
2886,0.3833333333333333
3036,0.21666666666666667
2887,0.21666666666666667
2884,0.2
