Date,Equity
2023-05-02,1001505.3988902563
2023-05-03,1000036.33432032
2023-05-04,1000931.7871344688
2023-05-05,999400.8268531706
2023-05-08,1001655.2381588027
2023-05-09,1000198.6233445917
2023-05-10,998313.1444549145
2023-05-11,995620.1918306003
2023-05-12,998485.7934940965
2023-05-15,998020.9667979837
2023-05-16,1000653.5395643758
2023-05-17,1002727.3833363644
2023-05-18,1005741.3078014702
2023-05-19,1022296.2226266033
2023-05-22,1019291.1384929209
2023-05-23,1031998.5902972731
2023-05-24,1030316.0935321137
2023-05-25,1058382.9431307483
2023-05-26,1053494.3451082779
2023-05-29,1075309.1622719432
2023-05-30,1064679.5997495237
2023-05-31,1071578.3370029775
2023-06-01,1095813.5857416883
2023-06-02,1119886.5237832956
2023-06-05,1120447.613880923
2023-06-06,1118509.4249075877
2023-06-07,1148243.4371064196
2023-06-08,1116107.3769275353
2023-06-09,1153714.9228933488
2023-06-12,1145350.1804107581
2023-06-13,1184277.1433815972
2023-06-14,1197374.6879661353
2023-06-15,1244505.9879684062
2023-06-16,1264825.8839146388
2023-06-19,1254893.7658230092
2023-06-20,1251846.1744256245
2023-06-21,1267357.770175457
2023-06-26,1245820.302040963
2023-06-27,1199546.7228069752
2023-06-28,1205003.4868650693
2023-06-29,1223921.0416689469
2023-06-30,1241155.0026698469
2023-07-03,1276654.7227372103
2023-07-04,1339111.7099813912
2023-07-05,1331945.0795880803
2023-07-06,1318857.4671490719
2023-07-07,1306315.2329596742
2023-07-10,1331043.0413440678
2023-07-11,1384836.7237618028
2023-07-12,1421755.3788369917
2023-07-13,1446812.6424836158
2023-07-14,1470779.3038954467
2023-07-17,1476435.5548649414
2023-07-18,1467636.841676173
2023-07-19,1446144.5209488906
2023-07-20,1486059.8154705751
2023-07-21,1560331.0332444278
2023-07-24,1591160.33828585
2023-07-25,1568690.8326808498
2023-07-26,1566025.4548341185
2023-07-27,1560841.004919659
2023-07-28,1594287.883797042
2023-07-31,1550755.533825465
2023-08-01,1528115.0262562558
2023-08-02,1424593.9921724251
2023-08-04,1429889.8586378791
2023-08-07,1502898.7848419668
2023-08-08,1493401.5316484508
2023-08-09,1492920.6540368756
2023-08-10,1429109.6552622125
2023-08-11,1445542.354116791
2023-08-14,1423179.521301343
2023-08-15,1473318.2186886303
2023-08-16,1509013.5617109947
2023-08-17,1537758.812729786
2023-08-18,1505770.4675266542
2023-08-21,1520476.9335364173
2023-08-22,1543176.5697428281
2023-08-23,1555357.3910742307
2023-08-24,1559222.382286984
2023-08-25,1534549.0888569625
2023-08-28,1520739.4061431512
2023-08-29,1522671.1366078914
2023-08-30,1522029.5729179818
2023-08-31,1522133.3272200904
2023-09-01,1511637.0886505572
2023-09-04,1514606.81626907
2023-09-05,1515857.2337404243
2023-09-06,1522508.1377962818
2023-09-07,1521098.5955167867
2023-09-08,1519430.1124084687
2023-09-11,1513708.0985191008
2023-09-12,1516059.661256279
2023-09-13,1517953.5330865132
2023-09-14,1522765.0156127363
2023-09-15,1524241.6305713875
2023-09-18,1518946.0092475465
2023-09-19,1520555.9210166116
2023-09-20,1505602.441139515
2023-09-21,1492265.6744097136
2023-09-22,1496517.3094217128
2023-09-25,1502173.9765112742
2023-09-26,1497431.5507708036
2023-09-27,1500258.1899367939
2023-09-28,1502099.5187203519
2023-10-02,1500743.1902141736
2023-10-03,1500058.6143884356
2023-10-04,1499446.6644340213
2023-10-05,1502564.230825593
2023-10-06,1501191.950665935
2023-10-11,1500374.5912288094
2023-10-12,1502803.7549013114
2023-10-13,1503936.4711551063
2023-10-16,1497705.0266967628
2023-10-17,1491193.0173044326
2023-10-18,1473571.4002378571
2023-10-19,1473880.0336682212
2023-10-20,1471849.8077943274
2023-10-23,1465613.7164837185
2023-10-24,1465547.3202603266
2023-10-25,1463949.0726493795
2023-10-26,1455491.5566241099
2023-10-27,1458877.2444989705
2023-10-30,1459528.207618264
2023-10-31,1452060.665099189
2023-11-01,1453894.94850997
2023-11-02,1462085.3930042505
2023-11-03,1469499.5296250142
2023-11-06,1481799.806309781
2023-11-07,1514282.7873149111
2023-11-08,1520298.7204425826
2023-11-09,1514228.3186225088
2023-11-10,1501776.8053170447
2023-11-13,1489093.691005041
2023-11-14,1495018.9120155384
2023-11-15,1487591.0108480207
2023-11-16,1481309.3104597111
2023-11-17,1480719.5264070549
2023-11-20,1482261.0513137837
2023-11-21,1491941.6721950092
2023-11-22,1488611.5959649659
2023-11-23,1475749.1306639127
2023-11-24,1472217.7881786986
2023-11-27,1449565.1540754386
2023-11-28,1473039.2633397046
2023-11-29,1485039.921534425
2023-11-30,1484071.8709593161
2023-12-01,1490237.2205593828
2023-12-04,1493633.573051564
2023-12-05,1514699.3817074224
2023-12-06,1527138.7166709364
2023-12-07,1545022.120607655
2023-12-08,1575010.2046674965
2023-12-11,1548360.1524715205
2023-12-12,1574875.7528515302
2023-12-13,1570420.1091349868
2023-12-14,1563154.2913581948
2023-12-15,1547572.8406391134
2023-12-18,1531575.255998797
2023-12-19,1513098.623976843
2023-12-20,1504858.4931295307
2023-12-21,1492611.6275405383
2023-12-22,1505126.0438874925
