,Score
1303,4.0
6446,3.933333333333333
3481,3.8666666666666667
2327,3.8
1326,3.6999999999999997
2303,3.6833333333333336
2890,3.5166666666666666
2887,3.45
1301,3.3833333333333333
2408,3.3333333333333335
2379,3.333333333333333
3711,3.3
2344,3.166666666666667
2618,3.0333333333333337
2449,2.95
2892,2.7666666666666666
2383,2.75
2404,2.75
2883,2.716666666666667
6415,2.6333333333333333
3035,2.6333333333333333
2886,2.633333333333333
3034,2.5666666666666664
2891,2.533333333333333
2881,2.4166666666666665
2884,2.3166666666666664
2885,2.25
2345,2.2
6239,2.2
6116,2.1166666666666667
2377,2.0166666666666666
2330,1.9500000000000002
3443,1.85
3017,1.8333333333333333
3044,1.6833333333333331
4904,1.5666666666666669
2454,1.4666666666666668
6770,1.4333333333333333
2412,1.4333333333333333
2382,1.4
3037,1.3833333333333335
2882,1.3666666666666667
3706,1.3499999999999999
3661,1.2166666666666666
3231,1.1
6669,1.0666666666666667
2376,0.9666666666666667
2356,0.8833333333333334
4938,0.8666666666666667
2368,0.8666666666666667
2603,0.7166666666666666
2324,0.5833333333333334
6285,0.5833333333333333
1519,0.5333333333333333
2317,0.5
3533,0.4166666666666667
2357,0.35
2308,0.3333333333333333
2360,0.25
3036,0.1
