,Score
6116,3.9833333333333334
2327,3.9499999999999997
3149,3.8666666666666667
3481,3.8
2356,3.6999999999999997
6239,3.6
2344,3.566666666666667
2303,3.5666666666666664
2377,3.416666666666667
2357,3.3333333333333335
2324,3.333333333333333
6415,3.2833333333333337
2353,3.2
2408,3.1500000000000004
6446,3.066666666666667
2882,2.9833333333333334
2454,2.8833333333333337
2881,2.833333333333333
2883,2.8166666666666664
6770,2.5
2404,2.4333333333333336
6285,2.4333333333333336
2891,2.3666666666666667
2887,2.3666666666666663
2376,2.3
2885,2.216666666666667
1303,2.2166666666666663
2360,2.1833333333333336
3231,2.1333333333333333
1605,2.0833333333333335
3037,1.9666666666666668
3036,1.95
2382,1.9166666666666665
2301,1.85
2317,1.8333333333333335
4938,1.8166666666666667
3711,1.7000000000000002
6669,1.6999999999999997
2474,1.4333333333333336
2379,1.4
2603,1.2833333333333332
1504,1.1833333333333331
2395,1.1666666666666667
2308,1.1
2345,1.0833333333333333
3035,1.0666666666666667
3706,1.0166666666666666
3017,0.9
2383,0.9
2618,0.8333333333333334
3044,0.8166666666666667
2330,0.6499999999999999
2412,0.55
3034,0.4666666666666667
2368,0.45000000000000007
2449,0.41666666666666663
3443,0.35
3661,0.2833333333333333
1519,0.21666666666666667
3533,0.13333333333333333
