Date,Equity
2023-07-27,979091.4430230989
2023-07-28,1001079.3333080573
2023-07-31,956012.3162771104
2023-08-01,932619.8191121252
2023-08-02,873835.6705187629
2023-08-04,884179.7092980958
2023-08-07,929553.9288444328
2023-08-08,928149.4610907385
2023-08-09,925001.8066932532
2023-08-10,881871.6684872808
2023-08-11,894014.5633821071
2023-08-14,876906.571828447
2023-08-15,907826.1776186698
2023-08-16,938634.8254556187
2023-08-17,953920.6349474668
2023-08-18,920907.1623896759
2023-08-21,921646.6235463292
2023-08-22,941593.5616820416
2023-08-23,950368.691361929
2023-08-24,954552.4457750996
2023-08-25,925168.6107252348
2023-08-28,914521.0427104007
2023-08-29,916483.9618481328
2023-08-30,919998.405549937
2023-08-31,919675.215163073
2023-09-01,916113.8413100347
2023-09-04,918452.2034082778
2023-09-05,917882.5603420864
2023-09-06,921706.0447685876
2023-09-07,919836.5615537775
2023-09-08,919404.3305612375
2023-09-11,914565.6944618531
2023-09-12,917493.0279582603
2023-09-13,917645.5862643988
2023-09-14,921242.9978641362
2023-09-15,922969.3848935862
2023-09-18,918773.8903628434
2023-09-19,919079.9691578756
2023-09-20,910568.6758314912
2023-09-21,901216.753928695
2023-09-22,905654.252168598
2023-09-25,909011.8461783177
2023-09-26,906526.5274784529
2023-09-27,907867.7747663532
2023-09-28,908077.117845961
2023-10-02,908077.3781316467
2023-10-03,906930.1472465077
2023-10-04,906571.6991191249
2023-10-05,907754.053875834
2023-10-06,907306.0652522686
2023-10-11,907856.7201990528
2023-10-12,909439.845605889
2023-10-13,909149.178272825
2023-10-16,907120.1678589686
2023-10-17,906775.2256728471
2023-10-18,905629.9500766578
2023-10-19,906161.1619185706
2023-10-20,902759.3046757636
2023-10-23,897326.8844122407
2023-10-24,896208.0467705148
2023-10-25,896125.467040778
2023-10-26,893752.5847383812
2023-10-27,892653.1943601595
2023-10-30,895096.751238345
2023-10-31,889880.981105873
2023-11-01,890036.4854047075
2023-11-02,892815.7959861201
2023-11-03,893532.2110763004
2023-11-06,901064.0941418125
2023-11-07,918437.1753902263
2023-11-08,922151.0173696519
2023-11-09,918042.619394151
2023-11-10,911949.3777555039
2023-11-13,906818.7377294276
2023-11-14,908021.578747328
2023-11-15,909202.3707712339
2023-11-16,905470.4050441324
2023-11-17,904011.4826573044
2023-11-20,906394.9781593903
2023-11-21,911247.9632982345
2023-11-22,912599.6956897577
2023-11-23,904616.5507773581
2023-11-24,905994.4446628089
2023-11-27,893015.6689822038
2023-11-28,907303.52769859
2023-11-29,914750.1160550308
2023-11-30,914863.0349124023
2023-12-01,918647.6539318115
2023-12-04,921024.2521049429
2023-12-05,934225.9359698832
2023-12-06,944448.7278036292
2023-12-07,952344.254993162
2023-12-08,969709.2891026802
2023-12-11,955430.1060609799
2023-12-12,964771.3680249052
2023-12-13,968626.8086265088
2023-12-14,973450.9545222498
2023-12-15,965708.6000171902
2023-12-18,963334.0265644816
2023-12-19,952032.914835464
2023-12-20,948145.089345083
2023-12-21,938836.0382296905
2023-12-22,944740.979176174
2023-12-25,929678.5191984491
2023-12-26,943160.0030580609
2023-12-27,950423.3869505286
2023-12-28,948645.161145233
2023-12-29,943271.8533663396
2024-01-02,947136.2530481205
2024-01-03,941223.8570156709
2024-01-04,947543.2603312773
2024-01-05,946409.6874449032
2024-01-08,942570.2335019704
2024-01-09,924304.3455524854
2024-01-10,912777.5096297576
2024-01-11,917641.3418453513
2024-01-12,914212.7410045685
2024-01-15,913128.0960464915
2024-01-16,918473.5798340385
2024-01-17,911750.9106251696
2024-01-18,913591.2646654545
2024-01-19,918681.0555711942
2024-01-22,932581.7262221663
2024-01-23,940405.7920581263
2024-01-24,936300.2609634873
2024-01-25,936142.9662628857
2024-01-26,928624.2936066992
2024-01-29,937630.1330591501
2024-01-30,945834.9749513331
2024-01-31,941990.3488908116
2024-02-01,972684.8992112915
2024-02-02,992745.7433485389
2024-02-05,1002168.9329262526
2024-02-15,1043724.0889706614
2024-02-16,1023911.9502560443
2024-02-19,1004982.7770426816
2024-02-20,997903.9569621645
2024-02-21,990677.592696781
2024-02-22,1000083.6113000766
2024-02-23,998497.9441691377
2024-02-26,1001572.2977909894
2024-02-27,982258.125757705
2024-02-29,1006658.7726625563
2024-03-01,1020841.8954277773
2024-03-04,1033089.0509124681
2024-03-05,1058478.4594296745
2024-03-06,1082492.0862197578
2024-03-07,1069685.013492623
2024-03-08,1047346.5402361673
2024-03-11,1055877.881216401
2024-03-12,1069415.013365308
2024-03-13,1060142.073852633
2024-03-14,1025520.3711432321
2024-03-15,1015328.2903048389
2024-03-18,1046411.986493239
2024-03-19,1050984.1409475864
2024-03-20,1046580.065853552
2024-03-21,1054203.6294014466
2024-03-22,1046256.3464023257
2024-03-25,1049025.8163531122
2024-03-26,1028555.7993558248
2024-03-27,1032306.0794048868
2024-03-28,1038184.5085866414
2024-03-29,1040452.9451132297
2024-04-01,1033848.8841202012
2024-04-02,1060403.1036743976
2024-04-03,1062980.9119225405
2024-04-08,1059240.4016538332
2024-04-09,1076226.0122456183
2024-04-10,1068522.443111653
2024-04-11,1062237.5621202167
2024-04-12,1081379.7365844236
2024-04-15,1048297.0094050915
2024-04-16,1009346.9695720265
2024-04-17,1046344.7961610192
2024-04-18,1062735.534979004
2024-04-19,1023352.7501886947
2024-04-22,986553.4085025635
2024-04-23,991149.3890573492
2024-04-24,1027264.8441379122
2024-04-25,1017769.3097036553
2024-04-26,1028997.7063323009
2024-04-29,1029629.1287611348
2024-04-30,1025868.145408514
2024-05-02,1018697.7009882203
2024-05-03,1023581.50612433
2024-05-06,1026155.4697523009
2024-05-07,1030187.9987472743
2024-05-08,1025050.5833369469
2024-05-09,1022717.672767053
2024-05-10,1034512.4174853873
2024-05-13,1039042.7877725383
2024-05-14,1045607.6575849685
2024-05-15,1051866.3242401192
2024-05-16,1082803.2092271214
2024-05-17,1065434.22578402
2024-05-20,1058798.6561384075
2024-05-21,1043642.1747517544
2024-05-22,1055069.6471136613
2024-05-23,1054264.137407465
2024-05-24,1071338.6995892045
2024-05-27,1091341.0949016423
2024-05-28,1104986.4905709806
2024-05-29,1090837.685607346
2024-05-30,1084756.4997712688
2024-05-31,1063550.8366623817
2024-06-03,1076204.485297279
2024-06-04,1065587.0159392392
2024-06-05,1094722.2750122014
2024-06-06,1102354.4504260607
2024-06-07,1112156.541301401
2024-06-11,1069676.2573637774
2024-06-12,1056640.4820414665
2024-06-13,1071195.223510927
2024-06-14,1093850.889223839
2024-06-17,1083012.1975667262
2024-06-18,1091701.1676395983
2024-06-19,1092676.507697502
2024-06-20,1106289.998727358
2024-06-21,1099915.6166346194
2024-06-24,1079250.2518745875
2024-06-25,1081996.5517772967
2024-06-26,1085758.5232891156
2024-06-27,1083793.5132768715
2024-06-28,1093649.5373969558
2024-07-01,1084465.8284749566
2024-07-02,1073719.3637342402
2024-07-03,1088692.1393569512
2024-07-04,1092468.7111845182
2024-07-05,1080098.935956559
2024-07-08,1105590.8263131217
2024-07-09,1112444.3800578134
2024-07-10,1121148.3088333057
2024-07-11,1131204.6175870534
2024-07-12,1101534.1164912428
2024-07-15,1111579.896192235
2024-07-16,1110172.9532416784
2024-07-17,1122983.7016613586
2024-07-18,1092511.7690262138
2024-07-19,1077090.5965028356
2024-07-22,1023967.764365863
