,Score
1303,3.9166666666666665
3443,3.9
2301,3.833333333333333
2615,3.8166666666666664
6669,3.8
3017,3.533333333333333
1326,3.5166666666666666
2357,3.5
3044,3.4
2368,3.316666666666667
1301,3.3
6505,3.2833333333333337
2408,3.1833333333333336
2887,3.1500000000000004
2603,3.0166666666666666
2883,2.966666666666667
3661,2.9000000000000004
2609,2.883333333333333
2395,2.783333333333333
2881,2.7333333333333334
1519,2.683333333333333
2882,2.45
2884,2.35
2382,2.3166666666666664
2324,2.2666666666666666
2454,2.2666666666666666
2449,2.2333333333333334
2377,2.083333333333333
2892,2.05
2376,2.033333333333333
6770,1.9833333333333334
6239,1.9666666666666666
2344,1.9000000000000004
2634,1.8666666666666667
3045,1.7999999999999998
2383,1.5333333333333334
1101,1.4833333333333332
2308,1.4333333333333333
2360,1.4333333333333333
2356,1.3666666666666667
2885,1.25
2303,1.2166666666666666
3037,1.2166666666666666
2891,1.2166666666666666
2886,1.1833333333333333
3231,1.1166666666666667
3481,1.1
3034,1.0166666666666666
6446,1.0
3711,0.95
2330,0.9
2379,0.8333333333333335
2317,0.75
6285,0.5166666666666667
6415,0.3833333333333333
2345,0.30000000000000004
2327,0.26666666666666666
2404,0.25
3533,0.16666666666666669
3036,0.13333333333333333
