,Score
2327,3.9499999999999997
1303,3.9333333333333336
3481,3.833333333333333
2408,3.8
2344,3.75
6446,3.533333333333333
2883,3.533333333333333
2379,3.466666666666667
6116,3.4666666666666663
2887,3.4000000000000004
2303,3.266666666666667
2882,3.2666666666666666
1326,3.1
2881,3.0833333333333335
2618,3.066666666666667
1301,2.8833333333333333
2891,2.783333333333333
3035,2.783333333333333
3034,2.7499999999999996
6770,2.6166666666666667
2404,2.55
2382,2.5166666666666666
2885,2.5
2353,2.3666666666666667
2884,2.3333333333333335
2383,2.216666666666667
2324,2.183333333333333
2356,2.166666666666667
3231,2.1333333333333333
2357,1.9833333333333336
4938,1.9500000000000002
2377,1.9166666666666665
2449,1.9
3711,1.7833333333333332
2330,1.7000000000000002
1605,1.65
1504,1.5833333333333335
6239,1.5333333333333332
2454,1.5
2376,1.4666666666666668
3037,1.4166666666666667
3706,1.4000000000000001
6415,1.35
3443,1.35
2317,1.2166666666666666
2609,1.1833333333333333
2474,1.1833333333333331
3661,0.9333333333333333
2603,0.8
3017,0.7666666666666667
2301,0.7166666666666668
2345,0.65
6669,0.6166666666666667
1519,0.5166666666666666
2368,0.44999999999999996
2360,0.4166666666666667
6285,0.30000000000000004
3533,0.26666666666666666
2308,0.18333333333333335
3036,0.08333333333333334
